,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,CIK,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardPE,GrossProfitTTM,Industry,Information,LatestQuarter,MarketCapitalization,Name,Note,OperatingMarginTTM,PEGRatio,PERatio,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesOutstanding,Symbol,TrailingPE
0,193.01,179.95,205.85,159.64,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",190.33,Common Stock,0.948,25.09,66740,USA,USD,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",10.11,9/12/21,5.91,0.0328,10038000000,10.11,12.07,3.315,11/18/21,NYSE,December,17.24,15685000000.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,9/30/21,105865000000.0,3M Company,,0.23,2.167,18.17,7.18,2.997,0.168,0.0,0.071,0.10800000000000001,0.44799999999999995,60.91,35326001000.0,LIFE SCIENCES,576253000,MMM,18.17
1,120.17,122.55,129.53,103.72,"100 ABBOTT PARK ROAD, D-322 AP6D, ABBOTT PARK, IL, US",138.67,Common Stock,0.668,19.47,1800,USA,USD,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",4.03,11/15/21,1.8,0.0141,12366000000,4.03,18.95,5.52,10/14/21,NYSE,December,26.81,19611000000.0,PHARMACEUTICAL PREPARATIONS,,9/30/21,226288000000.0,Abbott Laboratories,,0.209,2.481,31.75,6.54,5.35,0.171,0.696,0.23399999999999999,0.0774,0.21899999999999997,23.82,42308002000.0,LIFE SCIENCES,1768290000,ABT,31.75
2,113.67,110.85,120.07,93.83,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",127.78,Common Stock,0.799,7.67,1551152,USA,USD,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,4.196000000000001,2/15/22,5.2,0.0446,28854999000,4.196000000000001,15.02,4.979,1/13/22,NYSE,December,8.42,31747000000.0,PHARMACEUTICAL PREPARATIONS,,9/30/21,206789000000.0,AbbVie Inc,,0.36700000000000005,1.279,27.88,15.22,3.748,0.13699999999999998,0.38,0.11199999999999999,0.0848,0.523,31.19,55168999000.0,LIFE SCIENCES,1767880000,ABBV,27.88
3,326.84,344.6,379.3,254.41,"22 CHERRY HILL DR, DANVERS, MA, US",387.33,Common Stock,1.263,30.43,815094,USA,USD,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",3.2569999999999997,None,None,0,288176000,3.2569999999999997,54.14,16,None,NASDAQ,March,-,685615000.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,9/30/21,16419593000.0,Abiomed Inc,,0.26899999999999996,2.75,110.8,11.72,16.86,0.153,-0.08800000000000001,0.183,0.115,0.11599999999999999,21.49,973635000.0,LIFE SCIENCES,45497500,ABMD,110.8
4,317.2,344.4,372.12,235.78,"1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",376.3,Common Stock,1.129,30.9,1467373,USA,USD,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",9.15,11/15/21,3.61,0.0099,8446286000,9.15,23.24,4.467,10/13/21,NYSE,August,35.84,16364128000.0,"SERVICES-BUSINESS SERVICES, NEC",,8/31/21,234484000000.0,Accenture plc,,0.151,3.383,40.55,11.8,4.64,0.11699999999999999,0.10400000000000001,0.23800000000000002,0.11900000000000001,0.319,79.61,50533388000.0,TRADE & SERVICES,631641000,ACN,40.55
5,54.98,54.84,57.66,41.19,"1932 WYNNTON RD, COLUMBUS, GA, US",58.6,Common Stock,0.994,50.62,4977,USA,USD,Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States.,6.17,12/1/21,1.27,0.0225,5590000000,6.17,-,1.736,11/16/21,NYSE,December,10.68,7821000000.0,ACCIDENT & HEALTH INSURANCE,,9/30/21,37713711000.0,Aflac Incorporated,,0.24600000000000002,0.93,9.24,1.111,1.67,0.188,-0.616,-0.076,0.0216,0.128,33.01,22582999000.0,FINANCE,661528000,AFL,9.24
6,152.48,157.22,179.35,104.59,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",173.35,Common Stock,0.984,16.33,1090872,USA,USD,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",3.208,10/27/21,0.762,0.0048,1651000000,3.208,31.19,8.06,10/4/21,NYSE,October,34.25,2837000000.0,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,,7/31/21,48211624000.0,Agilent Technologies Inc,,0.218,2.511,49.49,9.72,7.85,0.161,0.344,0.258,0.0835,0.2,20.07,6142000000.0,LIFE SCIENCES,302723000,A,49.49
7,285.75,284.87,316.39,241.77,"7201 HAMILTON BOULEVARD, ALLENTOWN, PA, UNITED STATES",321.87,Common Stock,0.806,61.07,2969,USA,USD,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania.",9.44,11/8/21,5.84,0.0188,3589100000,9.44,17.77,6.84,9/30/21,NYSE,September,29.85,3136900000.0,INDUSTRIAL INORGANIC CHEMICALS,,9/30/21,68623147000.0,Air Products and Chemicals Inc,,0.22,1.597,32.85,5.08,6.65,0.203,0.254,0.225,0.0545,0.154,46.58,10323000000.0,LIFE SCIENCES,221365000,APD,32.85
8,112.39,106.28,121.11,92.64,"145 BROADWAY, CAMBRIDGE, MA, US",134.31,Common Stock,0.542,28.21,1086222,USA,USD,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",3.641,None,None,0,1133944000,3.641,14.56,5.49,None,NASDAQ,December,18.08,2065477000.0,"SERVICES-BUSINESS SERVICES, NEC",,9/30/21,18048279000.0,Akamai Technologies Inc,,0.223,1.454,30.51,3.877,5.3,0.17800000000000002,0.13699999999999998,0.085,0.0608,0.139,20.88,3402152000.0,TRADE & SERVICES,162480000,AKAM,30.51
9,60.51,57.74,74.25,45.28,"19300 INTERNATIONAL BOULEVARD, SEATTLE, WA, US",77.93,Common Stock,1.641,28.18,766421,USA,USD,"Alaska Air Group is an airline holding company based in SeaTac, Washington, United States.",0.10400000000000001,3/5/20,0,0,145000000,0.10400000000000001,16.96,1.581,2/14/20,NYSE,December,11.43,-680000000.0,"AIR TRANSPORTATION, SCHEDULED",,9/30/21,7016193000.0,Alaska Air Group Inc,,-0.151,1.3,531.54,2.016,1.38,0.0026,0.486,1.786,-0.0336,0.0037,40.8,5085000000.0,ENERGY & TRANSPORTATION,125311000,ALK,531.54
