symbol,quoteType,shortName,longName,exchange,exchangeTimezoneName,currency,sector,industry,fullTimeEmployees,longBusinessSummary,country,state,city,phone,website,address1,fiftyTwoWeekLow,fiftyTwoWeekHigh,pegRatio,marketCap,enterpriseValue,bookValue,averageVolume,floatShares,sharesOutstanding,enterpriseToRevenue,beta,trailingPE,trailingEps,priceToSalesTrailing12Months,forwardEps,forwardPE,priceToBook,heldPercentInstitutions,debtToEquity,returnOnEquity,returnOnAssets,shortRatio,sharesShort,52WeekChange,enterpriseToEbitda,totalCash,totalDebt,totalRevenue,totalCashPerShare,numberOfAnalystOpinions,currentPrice,targetHighPrice,targetMeanPrice,targetMedianPrice,targetLowPrice,recommendationKey,recommendationMean,revenuePerShare,grossProfits,freeCashflow,ebitda,operatingMargins,revenueGrowth,operatingCashflow,grossMargins,profitMargins,ebitdaMargins
MMM,EQUITY,3M Company,3M Company,NYQ,America/New_York,USD,Industrials,Conglomerates,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",United States,MN,St. Paul,651-733-1110,http://www.3m.com,3M Center,163.38,208.95,2.28,105834627072.0,119177592832.0,25.093000000000004,2512453.0,575595875.0,576252992.0,3.3739999999999997,0.9475319999999999,18.164375,10.111,2.9959414,10.43,17.60882,7.319172999999999,0.68793,130.812,0.44799998,0.10852,3.93,9088298.0,0.05636716,11.873,5734000128.0,19007000576.0,35326001152.0,9.95,18.0,183.66,216.0,190.33,193.0,138.0,hold,3.1,60.915,15685000000.0,5737124864.0,10037999616.0,0.23020001,0.071,7964000256.0,0.48023999999999994,0.16764,0.28415
ABT,EQUITY,Abbott Laboratories,Abbott Laboratories,NYQ,America/New_York,USD,Healthcare,Medical Devices,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois.",United States,IL,North Chicago,224 667 6100,http://www.abbott.com,100 Abbott Park Road,105.32,129.7,1.96,227136847872.0,236057460736.0,19.465999999999998,4941307.0,1754812622.0,1768290048.0,5.579,0.6680510000000001,31.873447,4.03,5.36865,4.72,27.213984000000004,6.598685000000001,0.75722003,53.111999999999995,0.21861999999999998,0.0774,2.16,11229276.0,0.13002550000000002,19.089000000000002,9692000256.0,18396999680.0,42308001792.0,5.481,21.0,128.45,158.0,138.67,140.0,110.0,buy,2.0,23.815,19611000000.0,8126875136.0,12366000128.0,0.20906,0.23399999999999999,11264000000.0,0.5685,0.17122,0.29229
ABBV,EQUITY,AbbVie Inc.,AbbVie Inc.,NYQ,America/New_York,USD,Healthcare,Drug Manufacturers—General,50000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",United States,IL,North Chicago,847 932 7900,http://www.abbvie.com,1 North Waukegan Road,98.33,121.53,2.05,206788919296.0,275303989248.0,7.665,7266929.0,1744915698.0,1767879936.0,4.99,0.79948,27.876549,4.196000000000001,3.7482812000000005,13.9,8.415109,15.260273999999999,0.69508004,594.66,0.52255,0.0848,2.07,13622944.0,0.1892029,9.541,12248999936.0,80737001472.0,55168999424.0,6.928999999999999,22.0,116.97,144.0,127.78,129.5,105.0,buy,1.9,31.186999999999998,31747000000.0,20337000448.0,28854999040.0,0.36701999999999996,0.11199999999999999,22556000256.0,0.70193,0.13656001,0.52303004
ABMD,EQUITY,"ABIOMED, Inc.","Abiomed, Inc.",NMS,America/New_York,USD,Healthcare,Medical Devices,1725.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",United States,MA,Danvers,978 646 1400,http://www.abiomed.com,22 Cherry Hill Drive,254.41,387.4,8.34,16419593216.0,15776883712.0,30.432,207842.0,44567521.0,45497500.0,16.204,1.263376,110.80443000000001,3.2569999999999997,16.864218,5.04,71.60516,11.858899000000001,0.9231,0.5670000000000001,0.11621000599999999,0.11463000599999999,4.26,817691.0,0.32315302,54.747,650558976.0,7854000.0,973635008.0,14.299000000000001,6.0,360.89,425.0,387.33,415.0,269.0,buy,2.4,21.494,685615000.0,170232128.0,288176000.0,0.26919,0.183,281540992.0,0.81897,0.15319000000000002,0.29598
ACN,EQUITY,Accenture plc,Accenture plc,NYQ,America/New_York,USD,Technology,Information Technology Services,624000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",Ireland,,Dublin,353 1 646 2000,http://www.accenture.com,1 Grand Canal Square,238.69,372.12,3.35,234484105216.0,230385811456.0,30.897,1833431.0,630806936.0,631641024.0,4.559,1.128831,40.549427,9.155,4.640181500000001,9.81,37.842,12.015083,0.73605,17.448,0.31868,0.11871000400000001,2.28,3927829.0,0.5155337999999999,27.276999999999997,8172468224.0,3506633984.0,50533388288.0,12.937999999999999,,371.23,,,,,none,,79.612,16364128000.0,7411048960.0,8446285824.0,0.15082,0.23800000000000002,8975148032.0,0.32383,0.11689000000000001,0.16714
ATVI,EQUITY,"Activision Blizzard, Inc","Activision Blizzard, Inc.",NMS,America/New_York,USD,Communication Services,Electronic Gaming & Multimedia,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",United States,CA,Santa Monica,310 255 2000,http://www.activisionblizzard.com,3100 Ocean Park Boulevard,64.55,104.53,1.34,54280777728.0,47887745024.0,21.765,9055865.0,773117020.0,778889024.0,5.29,0.5942850000000001,20.673391,3.3710000000000004,5.996550599999999,3.82,18.243456,3.2019298,0.88505,21.28,0.16877002,0.08984,1.83,13100061.0,-0.10007745,14.056,10000000000.0,3607000064.0,9052000256.0,12.839,32.0,69.69,125.0,97.97,100.0,65.0,buy,1.9,11.672,5826000000.0,2751749888.0,3407000064.0,0.36168998,0.059000000000000004,2892999936.0,0.72647005,0.29209,0.37638
ADBE,EQUITY,Adobe Inc.,Adobe Inc.,NMS,America/New_York,USD,Technology,Software—Infrastructure,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",United States,CA,San Jose,408 536 6000,http://www.adobe.com,345 Park Avenue,420.78,677.76,2.85,312886067200.0,311407083520.0,30.281999999999996,2058696.0,474415422.0,475800000.0,20.624000000000002,1.046233,54.365078000000004,12.095999999999998,20.722303,14.23,46.212227,21.715870000000002,0.8564200000000001,32.503,0.44697,0.142,2.29,4960366.0,0.42661893,51.025,6163999744.0,4685000192.0,15098999808.0,12.955,27.0,657.6,800.0,706.37,712.0,560.0,buy,1.8,31.563000000000002,11146000000.0,5574499840.0,6103000064.0,0.36532003,0.22,6945999872.0,0.88171,0.38671002,0.4042
AMD,EQUITY,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",NMS,America/New_York,USD,Technology,Semiconductors,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",United States,CA,Santa Clara,408 749 4000,http://www.amd.com,2485 Augustine Drive,72.5,155.65,1.57,178593447936.0,175687516160.0,5.888,51467979.0,1200449325.0,1207609984.0,11.829,2.010909,45.6169,3.242,12.024875999999999,3.32,44.54518,25.117188,0.7093,9.837,0.72143996,0.20934,1.55,70190944.0,0.76627254,51.326,3608000000.0,702000000.0,14851999744.0,2.988,34.0,147.89,180.0,140.51,140.0,100.0,buy,2.3,12.249,4347000000.0,2437625088.0,3423000064.0,0.20496,0.54,3252999936.0,0.46821999999999997,0.26724002,0.23046999999999998
AAP,EQUITY,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",NYQ,America/New_York,USD,Consumer Cyclical,Specialty Retail,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",United States,NC,Raleigh,540 362 4911,http://www.advanceautoparts.com,2635 East Millbrook Road,142.59,240.96,1.43,15059686400.0,17708818432.0,52.44,607579.0,62209024.0,63000700.0,1.6269999999999998,1.28987,25.750296,9.283,1.3832921999999999,12.78,18.704226000000002,4.5583525,1.0008,108.66,0.1776,0.05126,5.92,3503426.0,0.5824176,14.457,809286976.0,3587490048.0,10886844416.0,12.957,17.0,239.04,282.0,240.65,247.0,138.0,buy,2.2,162.945,4484775000.0,903600640.0,1224953984.0,0.089540005,0.059000000000000004,1297636992.0,0.44919997,0.05732,0.11252000000000001
AES,EQUITY,The AES Corporation,The AES Corporation,NYQ,America/New_York,USD,Utilities,Utilities—Diversified,8162.0,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,308 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",United States,VA,Arlington,703 522 1315,http://www.aes.com,4300 Wilson Boulevard,20.27,29.07,1.95,16481169408.0,38236164096.0,3.658,5175779.0,664400332.0,666713984.0,3.498,,31.855669,0.7759999999999999,1.5077457,1.65,14.981817999999999,6.757791,1.0126600000000001,347.17199999999997,0.15680999999999998,0.04867,1.61,8624310.0,0.15893114,10.175,1580999936.0,20010999808.0,10931000320.0,2.371,9.0,24.72,32.0,30.39,30.0,28.0,buy,1.7,16.212,2511000000.0,-770499968.0,3758000128.0,0.24681999,0.193,2047000064.0,0.2631,0.049489997,0.34379002
